年度,序號,行政區,上課地點,上課日期,上課時間,課程名稱,人數
111,268,士林區,"台北市士林區名山里雨聲街68號
 (貓頭鷹志工隊)",1111121,09:00~12:00,網路識讀安全自保術,34
111,269,南港區,"台北市南港區聯成里東新街77巷31號
 (臺北市南港區聯成社區發展協會)",1111121,09:00~12:00,玩轉社群愉快交朋友,25
111,270,松山區,"台北市松山區復勢里八德路三段155巷4弄35號1樓
 (財團法人伊甸社會福利基金會)",1111121,09:00~12:00,樂齡手機上網輕鬆學,14
111,271,內湖區,"台北市內湖區內湖里成功路四段50號2樓
 (巨匠電腦內湖認證)",1111121,13:30-16:30,美食佳餚點點送到家,19
111,272,文山區,"台北市文山區景東里景興路153巷1號
 (景東里辦公室)",1111121,14:00-17:00,亮麗自拍展現我的美,15
111,273,北投區,"台北市北投區榮光里石牌路一段166巷43弄15號
 (台北市北投區榮光社區發展協會)",1111122,10:00-11:00,聰明擊退網路假消息,23
111,274,士林區,"台北市士林區三玉里德行東路203巷2號1樓
 (芝山生活家)",1111122,09:00-12:00,老照片舊回憶愛長存,19
111,275,大安區,"台北市大安區法治里通化街192號
 (關懷里民活動中心)",1111122,11:00-12:00,聰明擊退網路假消息,28
111,276,中正區,"台北市中正區黎明里館前路34號4樓
 (巨匠電腦館前認證)",1111122,09:30-12:30,網路識讀安全自保術,17
111,277,中正區,"台北市中正區螢雪里福州街59號
 (螢雪里里辦公處)",1111122,09:00-12:00,IG限動分享精采人生,18
111,278,文山區,"台北市文山區明興里興隆路四段61號
 (明興里里辦公室)",1111122,09:00-12:00,拍出誘人的美食風味,20
111,279,南港區,"臺北市南港區舊莊里舊莊街1段91巷11號
 (臺北市南港舊莊社區發展協會)",1111122,13:00-16:00,亮麗自拍展現我的美,16
111,280,中正區,"台北市中正區黎明里館前路34號4樓
 (巨匠電腦館前認證)",1111122,13:30-16:30,美麗寶島逍遙青春遊,23
111,281,萬華區,"台北市萬華區福音里康定路229號6樓
 (社團法人台北市艾馨公益慈善會)",1111122,13:30-16:30,玩轉社群愉快交朋友,20
111,282,中正區,"臺北市中正區文盛里汀州路3段101號1樓101室
 (展翔據點)",1111122,13:00-16:00,網路識讀安全自保術,17
111,283,大安區,"台北市大安區福住里永康街47巷10-1號1樓
 (福住里里辦公室)",1111123,09:00-12:00,拍出誘人的美食風味,20
111,284,中正區,"台北市中正區文盛里辛亥路一段22號4樓
 (財團法人耕莘文教基金會)",1111123,09:00-12:00,亮麗自拍展現我的美,21
111,285,士林區,"台北市士林區名山里雨聲街68號
 (名山里辦公室)",1111123,09:00-12:00,懷念老歌金曲開心聽,38
111,286,北投區,"台北市北投區福興里自強街5巷22號
 (福興社區發展協會)",1111123,09:00-12:00,網路識讀安全自保術,49
111,287,中山區,"台北市中山區龍洲里民生東路三段88巷1號1樓
 (社團法人寧祈全人健康生命關懷協會)",1111123,09:00-12:00,樂齡手機上網輕鬆學,7
111,288,中正區,"台北巿中正區螢圃里牯嶺街131號
 (財團法人中華基督教廈門街浸信會)",1111123,09:30-12:30,美食佳餚點點送到家,25
